board,class,subject,topic
cbse,9,math,NUMBER SYSTEMS
cbse,9,math,ALGEBRA
cbse,9,math,COORDINATE GEOMETRY
cbse,9,math,GEOMETRY
cbse,9,math,MENSURATION
cbse,9,math,STATISTICS & PROBABILITY
cbse,9,Science,Matter - Its Nature and Behaviour
cbse,9,Science,Organization in the Living World
cbse,9,Science,"Motion, Force and Work"
cbse,9,Science,Our Environment
cbse,9,Science,Food; Food Production
cbse,10,math,NUMBER SYSTEMS
cbse,10,math,ALGEBRA
cbse,10,math,COORDINATE GEOMETRY
cbse,10,math,GEOMETRY
cbse,10,math,TRIGONOMETRY
cbse,10,math,MENSURATION
cbse,10,math,STATISTICS & PROBABILTY
cbse,10,Science,Chemical Substances-Nature and Behaviour
cbse,10,Science,World of Living
cbse,10,Science,Natural Phenomena
cbse,10,Science,Effects of Current
cbse,10,Science,Natural Resources
cbse,11,math,Sets and Functions
cbse,11,math,Algebra
cbse,11,math,Coordinate Geometry
cbse,11,math,Calculus
cbse,11,math,Mathematical Reasoning
cbse,11,math,Statistics and Probability
cbse,11,Physics,Physical World and Measurement
cbse,11,Physics,Kinematics
cbse,11,Physics,Laws of Motion
cbse,11,Physics,"Work, Energy and Power"
cbse,11,Physics,Motion of System of Particles and Rigid Body
cbse,11,Physics,Gravitation
cbse,11,Physics,Properties of Bulk Matter
cbse,11,Physics,Thermodynamics
cbse,11,Physics,Behaviour of Perfect Gases and Kinetic Theory of Gases
cbse,11,Physics,Oscillations and Waves
cbse,11,Chemistry,Some Basic Concepts of Chemistry
cbse,11,Chemistry,Structure of Atom
cbse,11,Chemistry,Classification of Elements and Periodicity in Properties
cbse,11,Chemistry,Chemical Bonding and Molecular Structure
cbse,11,Chemistry,States of Matter: Gases and Liquids
cbse,11,Chemistry,Chemical Thermodynamics
cbse,11,Chemistry,Equilibrium
cbse,11,Chemistry,Redox Reactions
cbse,11,Chemistry,Hydrogen
cbse,11,Chemistry,s -Block Elements
cbse,11,Chemistry,Some p -Block Elements
cbse,11,Chemistry,Organic Chemistry: Some basic Principles and Techniques
cbse,11,Chemistry,Hydrocarbons
cbse,11,Chemistry,Environmental Chemistry
cbse,11,Biology,Diversity of Living Organisms
cbse,11,Biology,Structural Organization in Plants and Animals
cbse,11,Biology,Cell: Structure and Function
cbse,11,Biology,Plant Physiology
cbse,11,Biology,Human Physiology
